GWA Element ID	IWA Element ID	DWA Element ID	DWA Element Name
4.A.1.a.1	4.A.1.a.1.t	4.A.1.a.1.t.5	Research advanced engineering designs or applications.
4.A.1.a.1	4.A.1.a.1.t	4.A.1.a.1.t.6	Research energy production, use, or conservation.
4.A.1.a.1	4.A.1.a.1.t	4.A.1.a.1.t.7	Research human performance or health factors related to engineering or design activities.
4.A.1.a.1	4.A.1.a.1.t	4.A.1.a.1.t.8	Research new technologies.
4.A.1.a.1	4.A.1.a.1.t	4.A.1.a.1.t.9	Research product safety.
4.A.1.a.1	4.A.1.a.1.t	4.A.1.a.1.t.10	Research methods to improve food products.
4.A.1.a.1	4.A.1.a.1.u	4.A.1.a.1.u.1	Investigate accidents to determine causes.
4.A.1.a.1	4.A.1.a.1.u	4.A.1.a.1.u.2	Examine debris to obtain information about causes of fires.
4.A.1.a.1	4.A.1.a.1.u	4.A.1.a.1.u.3	Investigate transportation incidents, violations, or complaints.
4.A.1.a.1	4.A.1.a.1.u	4.A.1.a.1.u.4	Investigate industrial or transportation accidents.
4.A.1.a.1	4.A.1.a.1.v	4.A.1.a.1.v.1	Investigate system, equipment, or product failures.
4.A.1.a.1	4.A.1.a.1.v	4.A.1.a.1.v.2	Investigate work related complaints to determine corrective actions.
4.A.1.a.1	4.A.1.a.1.v	4.A.1.a.1.v.3	Investigate safety of work environment.
4.A.1.a.1	4.A.1.a.1.w	4.A.1.a.1.w.1	Interview employees, customers, or others to collect information.
4.A.1.a.1	4.A.1.a.1.w	4.A.1.a.1.w.2	Interview others for news or entertainment purposes.
4.A.1.a.1	4.A.1.a.1.w	4.A.1.a.1.w.3	Interview clients to gather financial information.
4.A.1.a.1	4.A.1.a.1.w	4.A.1.a.1.w.4	Interview people to obtain information about actions or status of individuals.
4.A.1.a.1	4.A.1.a.1.w	4.A.1.a.1.w.5	Interview people to gather information about criminal activities.
4.A.1.a.1	4.A.1.a.1.w	4.A.1.a.1.w.6	Interview patients to gather medical information.
4.A.1.a.1	4.A.1.a.1.w	4.A.1.a.1.w.7	Interview claimants to get information related to legal proceedings.
4.A.1.a.1	4.A.1.a.1.w	4.A.1.a.1.w.8	Interview clients to gather information about their backgrounds, needs, or progress.
4.A.1.a.1	4.A.1.a.1.w	4.A.1.a.1.w.9	Interview witnesses, suspects, or claimants.
4.A.1.a.2	4.A.1.a.2.a	4.A.1.a.2.a.1	Monitor broadcasting operations to ensure proper functioning.
4.A.1.a.2	4.A.1.a.2.a	4.A.1.a.2.a.2	Monitor medical equipment to ensure proper functioning.
4.A.1.a.2	4.A.1.a.2.a	4.A.1.a.2.a.3	Monitor engine operation or functioning.
4.A.1.a.2	4.A.1.a.2.a	4.A.1.a.2.a.4	Monitor lubrication of equipment or workpieces.
4.A.1.a.2	4.A.1.a.2.a	4.A.1.a.2.a.5	Monitor equipment operation to ensure proper functioning.
4.A.1.a.2	4.A.1.a.2.a	4.A.1.a.2.a.6	Observe equipment in operation to detect potential problems.
4.A.1.a.2	4.A.1.a.2.a	4.A.1.a.2.a.7	Watch operating equipment to detect malfunctions.
4.A.1.a.2	4.A.1.a.2.a	4.A.1.a.2.a.8	Monitor green energy equipment, systems, or facilities.
4.A.1.a.2	4.A.1.a.2.a	4.A.1.a.2.a.9	Assess equipment functioning.
4.A.1.a.2	4.A.1.a.2.a	4.A.1.a.2.a.10	Monitor equipment operation to ensure that products are not flawed.
4.A.1.a.2	4.A.1.a.2.a	4.A.1.a.2.a.11	Monitor instruments to ensure proper production conditions.
4.A.1.a.2	4.A.1.a.2.a	4.A.1.a.2.a.12	Monitor video displays of medical equipment to ensure proper functioning.
4.A.1.a.2	4.A.1.a.2.a	4.A.1.a.2.a.13	Monitor equipment gauges or displays to ensure proper operation.
4.A.1.a.2	4.A.1.a.2.a	4.A.1.a.2.a.14	Monitor equipment fluid levels.
4.A.1.a.2	4.A.1.a.2.b	4.A.1.a.2.b.1	Monitor industrial energy consumption or management.
4.A.1.a.2	4.A.1.a.2.b	4.A.1.a.2.b.2	Monitor facilities or operational systems.
4.A.1.a.2	4.A.1.a.2.b	4.A.1.a.2.b.3	Monitor operational quality or safety.
4.A.1.a.2	4.A.1.a.2.b	4.A.1.a.2.b.4	Monitor extraction operations.
4.A.1.a.2	4.A.1.a.2.b	4.A.1.a.2.b.5	Monitor organizational procedures to ensure proper functioning.
4.A.1.a.2	4.A.1.a.2.b	4.A.1.a.2.b.6	Monitor construction operations.
4.A.1.a.2	4.A.1.a.2.b	4.A.1.a.2.b.7	Monitor vehicle movement or location.
